"DEPARTAMENTO DE TRÂNSITO DO DISTRITO FEDERAL GABINETE DA DIREÇÃO-GERAL
GERÊNCIA DE ESTATÍSTICA DE ACIDENTES DE TRÂNSITO
1. SÉRIE HISTÓRICA DE ACIDENTES DE TRÂNSITO FATAIS EM VIAS URBANAS (DETRAN)
DISTRITO FEDERAL, 2000 - 2021 (até dezembro) DADOS PRELIMINARES";;;;;;;;;;
1.1 Acidentes de Trânsito Fatais em Vias Urbanas, por Ano, segundo o Mês;;;;;;;;;;
MÊS;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Janeiro;15;9;5;8;9;8;7;8;5;1
Fevereiro;14;7;12;8;7;9;5;4;3;6
Março;11;7;6;9;15;3;8;10;2;9
Abril;10;15;6;18;9;8;8;6;8;4
Maio;8;19;6;6;7;6;5;9;8;8
Junho;5;8;8;5;9;5;2;6;6;11
Julho;12;18;13;8;9;4;8;7;4;2
Agosto;12;9;9;8;3;11;6;7;4;5
Setembro;8;10;6;3;9;6;9;2;12;10
Outubro;12;13;6;4;4;12;12;8;11;0
Novembro;10;10;7;6;6;7;9;6;5;8
Dezembro;14;11;5;2;9;9;4;4;7;5
Total;131;136;89;85;96;88;83;77;75;69
